"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2022/07/01","1","56.3","76.0","92.5","49.1","43.8","89.9","81.7","85.7","NA","-15.7","0.00","29.29","0.25","0.32"
"2022/07/02","2","57.7","76.0","92.2","49.4","43.8","89.2","82.6","85.8","NA","-18.0","0.00","24.75","0.24","0.31"
"2022/07/03","3","60.9","71.2","84.9","50.2","51.4","82.9","81.7","84.2","NA","-22.4","0.05","20.95","0.23","0.31"
"2022/07/04","4","59.6","71.9","84.6","44.2","40.9","84.6","79.5","82.8","NA","-33.9","0.00","24.79","0.24","0.31"
"2022/07/05","5","55.8","72.4","85.6","50.3","48.5","87.6","80.4","83.6","NA","-61.1","0.00","24.82","0.21","0.27"
"2022/07/06","6","63.3","76.3","86.1","56.6","53.2","89.5","82.0","84.8","NA","-130.8","0.01","23.71","0.21","0.26"
"2022/07/07","7","66.6","75.7","86.6","55.6","51.7","88.9","83.3","85.4","NA","-324.0","0.00","19.71","0.19","0.24"
"2022/07/08","8","59.1","77.5","90.7","50.1","41.5","90.2","81.9","85.1","NA","-544.3","0.00","27.85","0.25","0.32"
"2022/07/09","9","58.7","76.9","90.5","48.0","39.7","90.6","82.8","86.0","NA","-709.9","0.00","26.06","0.25","0.33"
"2022/07/10","10","58.0","76.4","90.5","46.2","37.9","91.4","83.1","86.1","NA","-825.4","0.00","27.37","0.25","0.31"
"2022/07/11","11","58.6","77.5","93.3","50.4","42.3","92.0","82.9","86.4","NA","-891.3","0.00","29.22","0.24","0.30"
"2022/07/12","12","58.1","80.8","97.9","54.8","45.1","93.7","83.8","87.3","NA","-937.2","0.00","28.21","0.25","0.30"
"2022/07/13","13","68.2","83.8","95.4","47.7","31.0","95.6","85.6","88.6","NA","-975.0","0.00","27.31","0.28","0.37"
