"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2023/07/01","1","59.8","74.2","89.2","46.0","40.7","91.8","85.3","87.7","NA","-1366.8","0.00","30.59","0.35","0.49"
"2023/07/02","2","53.8","70.9","82.9","40.3","37.7","89.4","83.7","86.3","NA","-1412.8","0.00","30.70","0.29","0.39"
"2023/07/03","3","51.0","70.1","84.8","41.0","39.1","88.7","82.9","85.6","NA","-1442.5","0.00","29.84","0.29","0.41"
"2023/07/04","4","52.8","71.1","86.1","44.9","41.9","88.8","82.8","85.5","NA","-1457.9","0.00","28.49","0.28","0.38"
"2023/07/05","5","56.0","74.5","89.2","47.9","40.9","89.9","83.3","86.1","NA","-1466.9","0.00","26.32","0.27","0.36"
"2023/07/06","6","56.4","76.8","92.4","47.9","39.5","91.1","83.8","86.7","NA","-1470.7","0.00","28.54","0.31","0.42"
"2023/07/07","7","60.9","79.0","95.2","49.8","38.5","92.8","85.1","87.9","NA","-1455.2","0.00","27.89","0.30","0.41"
"2023/07/08","8","59.5","77.9","94.1","52.5","44.1","93.9","86.0","89.0","NA","-1445.5","0.00","28.69","0.28","0.37"
"2023/07/09","9","60.7","78.8","94.4","55.9","48.0","94.6","87.3","89.9","NA","-1444.4","0.00","27.32","0.28","0.37"
"2023/07/10","10","59.3","71.3","81.4","57.5","63.1","90.9","87.4","89.1","NA","-1463.8","0.05","23.49","0.22","0.28"
"2023/07/11","11","53.1","67.9","82.1","52.6","61.1","88.0","83.1","86.0","NA","-1505.6","0.00","29.54","0.23","0.28"
"2023/07/12","12","53.8","72.0","85.5","52.9","53.8","90.2","84.0","86.9","NA","-1493.9","0.00","28.73","0.25","0.32"
"2023/07/13","13","56.9","73.1","86.3","49.9","47.3","91.9","85.1","87.9","NA","-1483.5","0.00","29.53","0.26","0.34"
"2023/07/14","14","58.8","76.0","90.2","51.1","45.1","92.9","85.8","88.7","NA","-1479.2","0.00","29.17","0.26","0.34"
"2023/07/15","15","58.9","78.8","94.2","50.5","40.6","94.2","86.7","89.8","NA","-1476.7","0.00","29.12","0.27","0.35"
"2023/07/16","16","61.8","79.5","94.6","52.1","41.4","95.3","88.0","90.7","NA","-1468.4","0.00","28.45","0.30","0.41"
"2023/07/17","17","57.8","70.8","80.7","47.5","45.8","92.1","88.0","89.9","NA","-1507.4","0.00","29.33","0.30","0.42"
"2023/07/18","18","51.5","68.9","81.8","44.1","46.2","89.9","84.6","87.5","NA","-1571.3","0.00","29.44","0.24","0.31"
"2023/07/19","19","54.0","75.2","92.8","48.2","41.4","91.6","85.3","88.0","NA","-1571.5","0.00","28.73","0.30","0.41"
"2023/07/20","20","59.1","80.7","97.3","49.5","37.2","93.7","86.5","89.2","NA","-1558.8","0.00","27.67","0.30","0.41"
"2023/07/21","21","61.6","77.6","91.5","55.7","49.4","94.9","87.8","90.4","NA","-1548.3","0.00","28.28","0.28","0.37"
"2023/07/22","22","57.8","76.0","90.7","50.7","43.0","94.1","87.4","90.2","NA","-1573.4","0.00","28.72","0.28","0.37"
"2023/07/23","23","59.0","77.5","92.6","52.8","46.2","94.7","87.6","90.4","NA","-1600.2","0.00","28.19","0.27","0.35"
"2023/07/24","24","60.1","72.3","87.1","53.8","54.6","93.7","88.5","90.7","NA","-1607.0","0.00","24.66","0.26","0.35"
"2023/07/25","25","56.2","68.8","81.3","48.6","53.3","90.8","86.5","88.8","NA","-1651.7","0.00","27.63","0.25","0.33"
"2023/07/26","26","52.3","66.6","80.0","44.6","49.0","89.5","84.9","87.6","NA","-1675.2","0.00","27.63","0.23","0.30"
"2023/07/27","27","55.6","69.8","84.6","47.7","48.5","89.8","84.7","87.7","NA","-1677.1","0.00","22.81","0.21","0.28"
"2023/07/28","28","53.0","71.1","86.8","49.3","50.0","91.2","85.5","88.2","NA","-1674.5","0.00","27.40","0.23","0.30"
"2023/07/29","29","56.0","73.4","88.4","49.4","45.5","92.0","86.0","88.7","NA","-1683.7","0.00","26.22","0.24","0.31"
"2023/07/30","30","55.0","70.1","83.5","50.2","51.7","91.2","86.4","88.7","NA","-1704.0","0.00","25.63","0.24","0.32"
"2023/07/31","31","52.0","69.3","84.5","45.7","45.9","90.4","84.9","87.6","NA","-1745.3","0.00","27.72","0.23","0.30"
"2023/08/01","1","53.4","71.9","87.6","43.5","39.5","90.6","84.9","87.8","NA","Too Dry/NA","0.00","27.95","0.24","0.31"
"2023/08/02","2","56.1","74.2","89.7","47.5","42.2","91.5","85.6","88.3","NA","Too Dry/NA","0.00","27.13","0.25","0.33"
"2023/08/03","3","59.9","75.0","89.5","49.0","42.7","92.3","86.4","89.0","NA","-1747.0","0.00","26.82","0.26","0.34"
"2023/08/04","4","60.0","70.7","81.9","54.1","56.7","88.7","86.9","88.5","NA","Too Dry/NA","0.00","13.88","0.18","0.26"
"2023/08/05","5","64.9","68.3","73.2","58.3","70.9","82.9","83.7","85.0","NA","Too Dry/NA","0.02","5.12","0.08","0.11"
"2023/08/06","6","63.6","70.9","81.1","61.0","72.7","83.8","81.5","83.1","NA","Too Dry/NA","0.00","19.20","0.17","0.20"
"2023/08/07","7","61.6","66.1","72.4","61.0","84.1","80.2","80.8","82.6","NA","Too Dry/NA","0.77","11.08","0.10","0.11"
"2023/08/08","8","56.9","69.8","82.4","57.2","68.3","79.5","77.4","80.2","NA","Too Dry/NA","0.00","24.55","0.19","0.23"
"2023/08/09","9","59.0","70.4","84.0","54.1","58.5","80.2","77.4","79.8","NA","Too Dry/NA","0.00","20.55","0.22","0.29"
